answer,correct_answer,score
Meryl Streep,Meryl Streep,1
Kathy Bates,Kathy Bates,1
Kathleen Turner,Kathleen Turner,1
Alan Rickman,Alan Rickman,1
Minnie Driver,Minnie Driver,1
Kyle McGlaughlan,Kyle MacLachlan,0.889
Paul Newman,Paul Newman,1
Dennis Leary,Denis Leary,0.979
Jeremy Irons,Jeremy Irons,1
Jennifer Aniston,Jennifer Aniston,1
Darryl Hannah,Daryl Hannah,0.98
Chris Rock,Chris Rock,1
Eva Mendes,Eva Mendes,1
Vince Vaughn,Vince Vaughn,1
Don Cheatle,Don Cheadle,0.983
James Woods,James Woods,1
Daniel Day-Lewis,Daniel Day-Lewis,1
Tom Hanks,Tom Hanks,1
Kate Hudson,Kate Hudson,1
Elliott Gould,Elliott Gould,1
Jamie Bell,Jamie Bell,1
Sean Connery,Sean Connery,1
Michael Douglas,Michael Douglas,1
Mira Servino,Mira Sorvino,0.942
Maggie Gyllanhaal,Maggie Gyllenhaal,0.979
Philip Seymour Hoffmann,Philip Seymour Hoffman,0.999
Burt Reynolds,Burt Reynolds,1
Kim basinger,Kim Basinger,1
David spade,David Spade,1
Jennifer lawrence,Jennifer Lawrence,1
Tom wilkenson,Tom Wilkinson,0.929
Julia roberts,Julia Roberts,1
Danny Glover,Danny Glover,1
Renee russo,Rene Russo,0.94
Sylvester stalone,Sylvester Stallone,0.975
Richard Guere,Richard Gere,0.992
Oliver platt,Oliver Platt,1
Liev schriber,Liev Schreiber,0.935
Matthew broderick,Matthew Broderick,1
Christopher plummer,Christopher Plummer,1
Hugh jackman,Hugh Jackman,1
Jeremy irons,Jeremy Irons,1
Ed harris,Ed Harris,1
Beau bridges,Beau Bridges,1
Helena Bonham Carter,Helena Bonham Carter,1
Michele phifer,Michelle Pfeiffer,0.888
Tim robbins,Tim Robbins,1
Juliane Moore,Julianne Moore,0.986
Paul Rudd,Paul Rudd,1
Rachel MacAdams,Rachel McAdams,0.967
Danny devito,Danny DeVito,1
Alfred Molina,Alfred Molina,1
Penelope Cruze,Penelope Cruz,0.998
Miranda Richardson,Miranda Richardson,1
Jim.Carrey,Jim Carrey,0.953
John leguzamo,John Leguizamo,0.953
Javier bardem,Javier Bardem,1
Demi moore,Demi Moore,1
Mark.ruffalo,Mark Ruffalo,0.926
Will smith,Will Smith,1
Malcolm mcdowell,Malcolm McDowell,1
Orlando Bloome,Orlando Bloom,0.998
Charlie sheen,Charlie Sheen,1
Mickey Rhoarke,Mickey Rourke,0.969
Emily blunt,Emily Blunt,1
Kathy bates,Kathy Bates,1
Alan akin,Alan Arkin,0.948
Elizabeth Shue,Elizabeth Perkins,0.922
Mary louise-parker,Mary-Louise Parker,0.926
Daryl Hannah,Daryl Hannah,1
Paul Newman,Paul Newman,1
Gweneth Paltrow,Gwyneth Paltrow,0.941
Michael Keaton,Michael Keaton,1
Goldie Hawn,Goldie Hawn,1
Nicole Kidman,Nicole Kidman,1
Iam Holm,Ian Holm,0.933
Marisa Tomei,Marisa Tomei,1
Dennis Hopper,Dennis Hopper,1
Anthony Quinn,Anthony Quinn,1
Tom Hanks,Tom Hanks,1
Bill Pullman,Bill Pullman,1
Al Pacino,Al Pacino,1
Colin Firth,Colin Firth,1
Alan Alda,Alan Alda,1
Naomi  Watts,Naomi Watts,1
Bridget Fonda,Bridget Fonda,1
Christian Slater,Christian Slater,1
Michael Douglas,Michael Douglas,1
Woody Allen,Woody Allen,1
Joan Cusack,Joan Cusack,1
Isabella  Rosellini,Isabella Rossellini,0.982
Jamie Bell,Jamie Bell,1
Glenn Close,Glenn Close,1
Alan Rickman,Alan Rickman,1
Ryan Reynolds,Ryan Reynolds,1
Jack Nickelson,Jack Nicholson,0.947
 Hugh Grant,Hugh Grant,1
Timothy Dalton,Timothy Dalton,1
Laura Dern,Laura Dern,1
Sean Penn,Sean Penn,1
Ben Stiller,Ben Stiller,1
Leonardo DeCapprio,Leonardo DiCaprio,0.956
Keifer Sutherland,Kiefer Sutherland,0.982
Keano Reeves,Keanu Reeves,0.963
Sarah Jessica Parker,Sarah Jessica Parker,1
Jack Black,Jack Black,1
Ewen McGreggor,Ewan McGregor,0.937
Chevy Chase,Chevy Chase,1
Jeffery Wright,Jeffrey Wright,0.983
Jimmy Smiths,Jimmy Smits,0.995
Meryl Streep,Meryl Streep,1
Kyle McGloughlan,Kyle MacLachlan,0.86
Sean Connery,Sean Connery,1
Daniel Day-Lewis,Daniel Day-Lewis,1
Chris Cooper,Chris Cooper,1
James Gandolfini,James Gandolfini,1
Dan Ackroid,Dan Aykroyd,0.934
Joe Pecci,Joe Pesci,0.97
Nicholas Cage,Nicholas Cage,1
Daniel Radcliffe,Daniel Radcliffe,1
Sidney Poitier,Sidney Poitier,1
Brad Pitt,Brad Pitt,1
Martin Sheen,Martin Sheen,1
Sally Fields,Sally Fields,1
Jody Foster,Jodie Foster,0.861
Juliette Binoche,Juliette Binoche,1
Danny Davito,Danny DeVito,0.954
Burt Reynolds,Burt Reynolds,1
Elizabeth Perkins,Elizabeth Perkins,1
Rosie Perez,Rosie Perez,1
Demi Moore,Demi Moore,1
Toni Collette,Toni Collette,1
Jason Bateman,Jason Bateman,1
Arnold Schwarzenger,Arnold Schwarzenegger,0.988
Sean Connery,Sean Connery,1
Michael Shannon,Michael Shannon,1
Mini Driver,Minnie Driver,0.891
Rachel MacAdams,Rachel McAdams,0.967
Penelope Cruz,Penelope Cruz,1
Clint Eastwood,Clint Eastwood,1
Mel Gibson,Mel Gibson,1
Brian Cox,Brian Cox,1
Alan Arkin,Alan Arkin,1
Debora  Winger,Debra Winger,0.963
Kristin Scott  Thomas,Kristin Scott Thomas,1
John Malcovitch,John Malkovich,0.944
Rober DeNiro,Robert De Niro,0.969
Anthony Hopkins,Anthony Hopkins,1
Christopher Walken,Christopher Walken,1
Orlando Bloom,Orlando Bloom,1
Sarah Jesica Parker,Sarah Jessica Parker,0.991
Johah Hill,Jonah Hill,0.917
Christian Slater,Christian Slater,1
Emma Watson,Emma Watson,1
Miranda Richardson,Miranda Richardson,1
Ewan McGreggor,Ewan McGregor,0.995
George Clooney,George Clooney,1
Liam Neeson,Liam Neeson,1
Roger Moore,Roger Moore,1
Kirsten Dunst,Kirsten Dunst,1
Tommy Lee Jones,Tommy Lee Jones,1
Joan Cusack,Joan Cusack,1
Paul Rudd,Paul Rudd,1
Sidney Poitier,Sidney Poitier,1
Alfred Molina,Alfred Molina,1
Mat Daimon,Matt Damon,0.953
Richard Guere,Richard Gere,0.992
Laura Dern,Laura Dern,1
Willem Defo,Willem Dafoe,0.981
Ben Aflec,Ben Affleck,0.972
Jon Hamm,Jon Hamm,1
Mary Steinburgen,Mary Steenburgen,0.946
Jude Law,Jude Law,1
Mira Sorvino,Mira Sorvino,1
Andy Garcia,Andy Garcia,1
Steve Corell,Steve Carell,0.977
Kevin Bacon,Kevin Bacon,1
Daniel Day-Lewis,Daniel Day-Lewis,1
Isabella Rossillini,Isabella Rossellini,0.977
Hugh  Jackman,Hugh Jackman,1
John Hawkes,John Hawkes,1
Mickey Rhourke,Mickey Rourke,0.99
Tracy Ullman,Tracey Ullman,0.982
Martin  Lawrence,Martin Lawrence,1
Tim Blake Nelson,Tim Blake Nelson,1
Johny Depp,Johnny Depp,0.981
Tom Cruise,Tom Cruise,1
Al Paccino,Al Pacino,0.987
Timothy Dalton,Timothy Dalton,1
Candice Burgen,Candice Bergen,0.974
Jamie Bell,Jamie Bell,1
Chris Cooper,Chris Cooper,1
Michelle Phiffer,Michelle Pfeiffer,0.957
Jeff Bridges,Jeff Bridges,1
Samuel L. Jackson,Samuel L. Jackson,1
Amanda Peet,Amanda Peet,1
John Turtoro,John Turturro,0.966
Julia Roberts,Julia Roberts,1
Chevy Chase,Chevy Chase,1
Oliver Platt,Oliver Platt,1
Joe Pesci,Joe Pesci,1
Billy Crystal,Billy Crystal,1
Macaully  Caulken,Macaulay Culkin,0.932
Benecio Del Torro,Benicio Del Toro,0.914
Tea Lenoi,Tea Leoni,0.985
Francis Mcdormand,Frances McDormand,0.898
Blair Underwood,Blair Underwood,1
Mark Whalburg,Mark Wahlberg,0.957
Uma Thurmon,Uma Thurman,0.989
Meryl Streep,Meryl Streep,1
Paul Dano,Paul Dano,1
Elen Barken,Ellen Barkin,0.928
William Hurt,William Hurt,1
Bill Murray,Bill Murray,1
David Hasselhoff,David Hasselhoff,1
Gary Oldman,Gary Oldman,1
Mathew  Broderick,Matthew Broderick,0.968
Christoph  Waltz,Christoph Waltz,1
Marisa Tomei,Marisa Tomei,1
Helen hunt,Helen Hunt,1
Eva Mendez,Eva Mendes,0.993
Kevin Stacey,Kevin Spacey,0.977
Chris rock,Chris Rock,1
Jennifer Lawrence,Jennifer Lawrence,1
Jennifer Sutherland,Kiefer Sutherland,0.907
Silvestre Stallone,Sylvester Stallone,0.947
Lib Tyler,Liv Tyler,0.941
Greg kinder,Greg Kinnear,0.916
Toby McGuire,Tobey Maguire,0.898
Kenneth brandish,Kenneth Branagh,0.925
Val Kilmer,Val Kilmer,1
Ethan Hawke,Ethan Hawke,1
Ellen degeneres,Ellen Degeneres,1
Jessica Chastaine,Jessica Chastain,0.999
Jamie Foxx,Jamie Foxx,1
David Schwimmer,David Schwimmer,1
Dustin Hoffman,Dustin Hoffman,1
Tom Wilkenson,Tom Wilkinson,0.98
Michael Keaton,Michael Keaton,1
Andie McDowell,Andie MacDowell,0.988
Tom Hanks,Tom Hanks,1
Leonardo DiCapprio,Leonardo DiCaprio,0.996
Malcolm McDowel,Malcolm McDowell,0.999
Elijah Wood,Elijah Wood,1
Steve Buschemi,Steve Buscemi,0.993
Drew Barrymore,Drew Barrymore,1
Brook Shields,Brooke Shields,0.952
Hope Davis,Hope Davis,1
Anthony Hopkins,Anthony Hopkins,1
Jeffery Rush,Geoffrey Rush,0.891
Benecio Del Toro,Benicio Del Toro,0.93
Kristin Dunst,Kirsten Dunst,0.927
Zack Gallafanikis,Zach Galifianakis,0.881
Naomi Watts,Naomi Watts,1
Paul Rudd,Paul Rudd,1
Eddie Murphy,Eddie Murphy,1
Elliot Gould,Elliott Gould,0.986
Sean Connery,Sean Connery,1
Julianne Moore,Julianne Moore,1
Scarlett Johnason,Scarlett Johansson,0.987
Kelly MacDonald,Kelly MacDonald,1
George Clooney,George Clooney,1
Julia Roberts,Julia Roberts,1
JImmy Smitts,Jimmy Smits,0.921
Reese Witherspoon,Reese Witherspoon,1
Anne Hathaway,Anne Hathaway,1
Robert Redford,Robert Redford,1
Vanessa Redgrave,Vanessa Redgrave,1
Darryl Hannah,Daryl Hannah,0.98
Toni Collette,Toni Collette,1
Roger Moore,Roger Moore,1
Michael Fasbender,Michael Fassbender,0.993
James Macavoy,James McAvoy,0.964
Michael Douglas,Michael Douglas,1
Ben Kingsley,Ben Kingsley,1
Don Cheetle,Don Cheadle,0.942
Michelle Phiffer,Michelle Pfeiffer,0.957
Nathan Lane,Nathan Lane,1
John Voit,Jon Voight,0.917
Blair Underwood,Blair Underwood,1
Will Smith,Will Smith,1
Tom Hardy,Tom Hardy,1
Sandra Bulloch,Sandra Bullock,0.997
Martin Sheen,Martin Sheen,1
Bill Murry,Bill Murray,0.994
Candice Bergan,Candice Bergen,0.993
Sam Worthington,Sam Worthington,1
Glenn Close,Glenn Close,1
Peter Otoole,Peter O'toole,0.988
Elizabeth Shue,Elisabeth Shue,0.963
Christian  Bale,Christian Bale,1
Orlando Bloome,Orlando Bloom,0.998
Danny GLover,Danny Glover,1
Marissa Tomei,Marisa Tomei,0.984
Cate Blanchette,Cate Blanchett,0.999
Clint Eastwood,Clint Eastwood,1
Minnie Driver,Minnie Driver,1
Sally FIelds,Sally Fields,1
Uma Thurmon,Uma Thurman,0.989
Arnold Schwatzengger,Arnold Schwarzenegger,0.957
Beau Bridges,Beau Bridges,1
Nicholas Cage,Nicholas Cage,1
Gary Sinese,Gary Sinise,0.974
Al Pacino,Al Pacino,1
Dennis Hopper,Dennis Hopper,1
Ellen Barkin,Ellen Barkin,1
William  Hurt,William Hurt,1
Sean Penn,Sean Penn,1
Gerry Lewis,Jerry Lewis,0.939
Maggie Gyllenhall,Maggie Gyllenhaal,0.995
Seth Rogen,Seth Rogen,1
Owen Wilson,Owen Wilson,1
Alan Rickman,Alan Rickman,1
Ryan Gossling,Ryan Gosling,0.99
Debora Winger,Debra Winger,0.98
Jason Bateman,Jason Bateman,1
Bruce Willis,Bruce Willis,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Tom Cruize,Tom Cruise,0.987
Ellen Page,Ellen Page,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Ewan MacGreggor,Ewan McGregor,0.973
Jeff Goldblum,Jeff Goldblum,1
Jennifer Connely,Jennifer Connelly,0.998
Meg Ryan,Meg Ryan,1
Malcolm MacDowel,Malcolm McDowell,0.982
Christian Slater,Christian Slater,1
Holly Hunter,Holly Hunter,1
Andy MacDowell,Andie MacDowell,0.945
Rachel MacAdams,Rachel McAdams,0.967
George Lopez,George Lopez,1
Jake Gylenhaal,Jake Gyllenhaal,0.967
Kate Winslet,Kate Winslet,1
Willem Defoe,Willem Dafoe,0.971
Ben Alfleck,Ben Affleck,0.949
Alan Alda,Alan Alda,1
Tom Arnold,Tom Arnold,1
Bill Cosby,Bill Cosby,1
Edward Nortan,Edward Norton,0.992
Julia Roberts,Julia Roberts,1
Tilda Swinton,Tilda Swinton,1
Keano Reeves,Keanu Reeves,0.963
Tony Colette,Toni Collette,0.939
Halie Barry,Halle Berry,0.912
Candice Bergen,Candice Bergen,1
Charlie Sheen,Charlie Sheen,1
Guy Peirce,Guy Pearce,0.973
Blair Underwood,Blair Underwood,1
Mira Sorvino,Mira Sorvino,1
Chevy Chase,Chevy Chase,1
Jodi Foster,Jodie Foster,0.921
Elijah Wood,Elijah Wood,1
Vanessa Redgrave,Vanessa Redgrave,1
Christian Bale,Christian Bale,1
Mike Myers,Mike Myers,1
Vigo Mortenson,Viggo Mortensen,0.945
Signorny Weaver,Sigourney Weaver,0.851
Danny Glover,Danny Glover,1
Cameron Diaz,Cameron Diaz,1
Jeremy Renner,Jeremy Renner,1
Robin Williams,Robin Williams,1
Christopher Plummer,Christopher Plummer,1
Joan Cussack,Joan Cusack,0.991
Stanley Tucci,Stanley Tucci,1
Catherine Zeta-Jones,Catherine Zeta-Jones,1
Jim Carrey,Jim Carrey,1
Anne Hathaway,Anne Hathaway,1
Jeff Daniels,Jeff Daniels,1
Rober De Niro,Robert De Niro,0.985
Alfred Molina,Alfred Molina,1
Sarah Jessica Parker,Sarah Jessica Parker,1
Helena Bonham-Carter,Helena Bonham Carter,0.988
Selma Hyeck,Salma Hayek,0.856
Jeff Bridges,Jeff Bridges,1
Anna Pacquin,Anna Paquin,0.988
Kurt Russel,Kurt Russell,0.998
Paul Rudd,Paul Rudd,1
Robert Downey Jr.,Robert Downey Jr.,1
Greg Kinner,Greg Kinnear,0.995
Miranda Richardson,Miranda Richardson,1
Jamie Foxx,Jamie Foxx,1
Colin Firth,Colin Firth,1
Andy Garcia,Andy Garcia,1
Ethan Hawke,Ethan Hawke,1
Patricia Arquette,Patricia Arquette,1
Nicole Kidman,Nicole Kidman,1
Tom Hardey,Tom Hardy,0.993
Bill Pullman,Bill Pullman,1
Demi Moore,Demi Moore,1
Bradley Cooper,Bradley Cooper,1
Samuel L. Jackson,Samuel L. Jackson,1
Alec Baldwin,Alec Baldwin,1
Billy Crystal,Billy Crystal,1
Martin Lawrence,Martin Lawrence,1
Sean Connery,Sean Connery,1
Emma Stone,Emma Stone,1
Scarlet Johanson,Scarlett Johansson,0.977
Francis MacDormand,Frances McDormand,0.914
Paul Giamati,Paul Giamatti,0.996
Tim Robbins,Tim Robbins,1
Keiver Sutherland,Kiefer Sutherland,0.943
Michal Keaton,Michael Keaton,0.952
Gabriel Byrne,Gabriel Byrne,1
Burt Reynolds,Burt Reynolds,1
Donald Sutherland,Donald Sutherland,1
Dustin Hoffman,Dustin Hoffman,1
Brendan Frasier,Brendan Fraser,0.996
Will Smith,Will Smith,1
Ryan Gossling,Ryan Gosling,0.99
Sam Shepard,Sam Shepard,1
Peter Cayote,Peter Coyote,0.964
Bridgette Fonda,Bridget Fonda,0.976
Tea Leoni,Tea Leoni,1
Dennis Leary,Denis Leary,0.979
Brian Cox,Brian Cox,1
Helen Bonham-Carter,Helena Bonham Carter,0.906
Gary Oldman,Gary Oldman,1
Hope Davis,Hope Davis,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Jeff Daniels,Jeff Daniels,1
Jody Foster,Jodie Foster,0.861
Ryan Gosling,Ryan Gosling,1
Martin Lawrence,Martin Lawrence,1
James Woods,James Woods,1
Michelle Phfiffer,Michelle Pfeiffer,0.975
Jim Belushi,Jim Belushi,1
Jamie Foxx,Jamie Foxx,1
Kevin James,Kevin James,1
Halley Bary,Halle Berry,0.934
John Hawkes,John Hawkes,1
John Malcovich,John Malkovich,0.958
Kevin Cosner,Kevin Costner,0.992
Jeffrey Wright,Jeffrey Wright,1
Alec Baldwin,Alec Baldwin,1
Marissa Tomei,Marisa Tomei,0.984
Helen Mirren,Helen Mirren,1
Harrison Ford,Harrison Ford,1
Jennifer Lawrence,Jennifer Lawrence,1
John C. Reilly,John C. Reilly,1
Laura Dern,Laura Dern,1
John Torturro,John Turturro,0.957
John Cusack,John Cusack,1
Anthony Hopkins,Anthony Hopkins,1
Francis MacDormand,Frances McDormand,0.914
Andy MacDowell,Andie MacDowell,0.945
Greg Kineer,Greg Kinnear,0.971
Ewan MacGreggor,Ewan McGregor,0.973
Lucy Liu,Lucy Liu,1
Toby McGuire,Tobey Maguire,0.898
John Travolta,John Travolta,1
Clint Eastwood,Clint Eastwood,1
Mickey Rourke,Mickey Rourke,1
Peter O'tolle,Peter O'toole,0.988
David Ducovney,David Duchovny,0.983
Bill Cosbey,Bill Cosby,0.994
Laura Liney,Laura Linney,0.993
Tom Hanks,Tom Hanks,1
Alan Arkin,Alan Arkin,1
Clive Owen,Clive Owen,1
Liv Tyler,Liv Tyler,1
Kirstin Dunst,Kirsten Dunst,0.968
Chris Rock,Chris Rock,1
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Daniel Day-Lewis,Daniel Day-Lewis,1
Danny Glover,Danny Glover,1
Tim Blake Nelson,Tim Blake Nelson,1
Charlize Theron,Charlize Theron,1
Michael Keaton,Michael Keaton,1
Paul Rudd,Paul Rudd,1
Emma Stone,Emma Stone,1
Holly Hunter,Holly Hunter,1
Elizabeth Perkins,Elizabeth Perkins,1
Elliot Gould,Elliott Gould,0.986
Robin Williams,Robin Williams,1
Rob Lowe,Rob Lowe,1
Tonni Colette,Toni Collette,0.961
Jim Carey,Jim Carrey,0.99
Jennifer Aniston,Jennifer Aniston,1
Steve Martin,Steve Martin,1
Daryl Hannah,Daryl Hannah,1
David Schwimer,David Schwimmer,0.996
Bruce Willis,Bruce Willis,1
Jeff Goldblum,Jeff Goldblum,1
Oliver Platt,Oliver Platt,1
Christopher Walken,Christopher Walken,1
Keaneu Reeves,Keanu Reeves,0.925
Colin Farrel,Colin Farrell,0.998
David Hasselhoff,David Hasselhoff,1
Ed Burns,Ed Burns,1
Candice Bergan,Candice Bergen,0.993
Jeffrey Rush,Geoffrey Rush,0.921
Elen Degeneris,Ellen Degeneres,0.941
Joan Cusack,Joan Cusack,1
Kyle McGloughlan,Kyle MacLachlan,0.86
Robert Duval,Robert Duvall,0.998
Jake Gyllenhaal,Jake Gyllenhaal,1
Patricia Arquette,Patricia Arquette,1
Steven Segal,Steven Seagal,0.984
Ben Stiller,Ben Stiller,1
Elijah Wood,Elijah Wood,1
Jeremy Renner,Jeremy Renner,1
Danny Devito,Danny DeVito,1
Don Cheatle,Don Cheadle,0.983
Jamie Lee Curtis,Jamie Lee Curtis,1
Beau Bridges,Beau Bridges,1
Amanda Peet,Amanda Peet,1
Willem Defoe,Willem Dafoe,0.971
Samuel L. Jackson,Samuel L. Jackson,1
Rickey Jervais,Ricky Gervais,0.928
Michael J. Fox,Michael J. Fox,1
Brendan Frasier,Brendan Fraser,0.996
Tea Lenoi,Tea Leoni,0.985
Michael Fasbender,Michael Fassbender,0.993
Sandra Bulloch,Sandra Bullock,0.997
Michael Shannon,Michael Shannon,1
Patricia Arquette,Patricia Arquette,1
Peter Coyote,Peter Coyote,1
Rosanna Arquette,Rosanna Arquette,1
John Goodman,John Goodman,1
Christian Slater,Christian Slater,1
Bill Murray,Bill Murray,1
Oliver Platt,Oliver Platt,1
Michael J. Fox,Michael J. Fox,1
Jake Jyllenhaal,Jake Gyllenhaal,0.97
Amy Adams,Amy Adams,1
Arnold Schwartzeneger,Arnold Schwarzenegger,0.988
George Clooney,George Clooney,1
Ethan Hawke,Ethan Hawke,1
Kelly MacGillis,Kelly MacDonald,0.911
Uma Thurman,Uma Thurman,1
Morgan Freeman,Morgan Freeman,1
Rene Russo,Rene Russo,1
Val Kilmer,Val Kilmer,1
Michael Keaton,Michael Keaton,1
John Travolta,John Travolta,1
Jonah Hill,Jonah Hill,1
Denzel  Washington,Denzel Washington,1
Kurt Russel,Kurt Russell,0.998
Marissa Tomei,Marisa Tomei,0.984
Will Smith,Will Smith,1
Keyano Reeves,Keanu Reeves,0.933
Tobey McGuire,Tobey Maguire,0.953
Liv Tyler,Liv Tyler,1
Alan Alda,Alan Alda,1
Nicholas Cage,Nicholas Cage,1
Billy Crystal,Billy Crystal,1
Steve Correll,Steve Carell,0.964
Gene Hackman,Gene Hackman,1
Donald Sutherland,Donald Sutherland,1
Ewan MacGreggor,Ewan McGregor,0.973
Kevin James,Kevin James,1
Naomi Watts,Naomi Watts,1
Daniel Radcliffe,Daniel Radcliffe,1
Candice Bergen,Candice Bergen,1
John Hawkes,John Hawkes,1
Edward Norton,Edward Norton,1
Guy Pierce,Guy Pearce,0.967
David Ducovny,David Duchovny,0.991
Sean Connery,Sean Connery,1
Ben stiller,Ben Stiller,1
debra winger,Debra Winger,1
ellen degeneres,Ellen Degeneres,1
paul rudd,Paul Rudd,1
alec baldwin,Alec Baldwin,1
Miranda Richardson,Miranda Richardson,1
Jill Clayburg,Jill Clayburgh,0.998
Geoffrey Shine,Geoffrey Rush,0.939
Kevin Bacon,Kevin Bacon,1
Robert Downey Jr.,Robert Downey Jr.,1
Jeff Daniels,Jeff Daniels,1
Andy McDowell,Andie MacDowell,0.859
Orlando Bloome,Orlando Bloom,0.998
Ellen Page,Ellen Page,1
Paul Newman,Paul Newman,1
Scarlete Johanson,Scarlett Johansson,0.965
Demi Moore,Demi Moore,1
Willem Defoe,Willem Dafoe,0.971
Burt Reynolds,Burt Reynolds,1
Mira Survino,Mira Sorvino,0.942
Jon Voight,Jon Voight,1
Barbara Hershey,Barbara Hershey,1
Timmothy Dalton,Timothy Dalton,0.982
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Kevin Costner,Kevin Costner,1
Ryan GOsling,Ryan Gosling,1
Toni Collette,Toni Collette,1
Paul Giamatti,Paul Giamatti,1
Matt Daimon,Matt Damon,0.989
Mark Ruffolo,Mark Ruffalo,0.979
Emma Thompson,Emma Thompson,1
Sam Worthington,Sam Worthington,1
Martin Lawrence,Martin Lawrence,1
Elijah Wood,Elijah Wood,1
Meg Ryan,Meg Ryan,1
Dustin Hoffman,Dustin Hoffman,1
Emma Stone,Emma Stone,1
Judy Dench,Judi Dench,0.953
Javier Bardem,Javier Bardem,1
Angelina Jolli,Angelina Jolie,0.993
Emely Blunt,Emily Blunt,0.95
Jack Black,Jack Black,1
Brook Shields,Brooke Shields,0.952
Brad PItt,Brad Pitt,1
Clive Owen,Clive Owen,1
Laura Linney,Laura Linney,1
Don Chadle,Don Cheadle,0.956
Sean Penn,Sean Penn,1
Robert Downey Jr.,Robert Downey Jr.,1
Anna Paquin,Anna Paquin,1
Mira Sorvion,Mira Sorvino,0.995
Kevin James,Kevin James,1
Robin Williams,Robin Williams,1
Naomi Watts,Naomi Watts,1
Jesica Castain,Jessica Chastain,0.908
Keifer Sutherland,Kiefer Sutherland,0.982
Samuel L. Jackson,Samuel L. Jackson,1
Michael Fassbender,Michael Fassbender,1
George Lopez,George Lopez,1
Selma Hayek,Salma Hayek,0.854
Keven Bacon,Kevin Bacon,0.956
Daniel Radcliffe,Daniel Radcliffe,1
Kiera Knightly,Keira Knightley,0.957
Emily Blunt,Emily Blunt,1
Anthony Quinn,Anthony Quinn,1
Debora Winger,Debra Winger,0.98
David Spade,David Spade,1
James Mcavoy,James McAvoy,1
Matthew Borderick,Matthew Broderick,0.991
Tracy Ullman,Tracey Ullman,0.982
Jennifer Lopez,Jennifer Lopez,1
Colin Firth,Colin Firth,1
Michael Shannon,Michael Shannon,1
Peter Coyote,Peter Coyote,1
